y1,x1,z1,t1
148.01195610507256,33,3,40.19801807104935
104.27825995887544,34,2,28.344106576518605
72.61968039799756,34,1,19.496095636293735
111.52717398572956,33,2,30.58508342046217
105.31635196863388,35,2,28.82742930546509
140.01363860701906,37,3,38.06015305614152
141.7422884274943,37,3,39.14055363037055
185.9850835434192,33,4,51.60251090057184
145.67445235178255,39,3,39.8437426280808
149.1040195267711,37,3,41.65518137455421
107.85520702531016,37,2,29.30643275856593
113.20504669490428,31,2,30.633451970994145
148.88065294416236,38,3,40.66172105424072
145.81951347118533,37,3,39.82024156406745
145.36503205516956,34,3,40.23601123509599
108.19451553007896,31,2,29.400066629949027
76.61604921252342,31,1,20.38862764076445
73.12473788914522,38,1,19.397477130219983
105.66755936553356,37,2,29.053530378907716
144.9974721173233,39,3,39.99466442615508
179.6753020418273,33,4,49.336350871548746
175.6256940544289,37,4,48.82878647108457
78.06878853678623,37,1,20.91927949990348
144.19343048861865,30,3,39.79439377519685
118.22566959144342,32,2,31.693382609555837
187.00345645835176,38,4,51.50762647455949
75.35980948000945,32,1,19.817527016584897
177.2664669703618,40,4,49.08899678167924
110.36537113510686,32,2,30.19659092673142
69.71821179341994,32,1,18.691482575217343
145.38689442346606,39,3,40.19104826551772
144.76432561293777,36,3,40.09923726817237
142.84445286706662,35,3,39.83105518775665
116.91839698947896,31,2,31.82541549894351
153.47127359727037,39,3,41.94877459340917
154.83485002622166,31,3,42.51823780914617
110.71669927018095,40,2,30.715272119274616
145.68753033737408,30,3,40.43618708456143
176.47763043456396,31,4,49.27831233836718
116.0866346524842,35,2,31.275576838270165
107.14568742415103,33,2,28.743380126223983
147.98767621228706,39,3,40.88180075425615
78.53162253629701,33,1,21.215209284431037
111.01527831070597,33,2,30.205161539562816
183.41410605677788,39,4,50.93948389627415
111.67555388285363,36,2,30.110995385035174
184.84525157022085,38,4,50.770985358343495
145.26669702350412,32,3,40.32242013429123
113.22471500762154,31,2,30.83662080405597
152.65971758853615,38,3,42.06327888990903
147.17209347832735,35,3,40.47360057375053
181.98322714797237,32,4,50.55762792609232
150.39192290479082,40,3,41.07496361000118
185.4618160536745,30,4,51.64760749641879
70.96484469649452,30,1,19.04698124337385
147.26004257334245,40,3,40.30490668502736
114.49931619859044,30,2,31.090624187741376
100.84541680998473,39,2,27.95337562407242
73.23313149641183,32,1,19.693968165526083
179.22103647034862,35,4,50.064961510092
178.714058028726,38,4,49.32957805736928
142.87802326877195,33,3,39.50263150312391
105.43096084527414,31,2,28.47265942351235
75.1692043030495,30,1,19.97400064266619
145.34835537421682,30,3,40.32550424530056
73.86863881263727,40,1,19.847195892543716
181.64292094686337,30,4,49.968142284212966
182.6450351881178,31,4,50.79487261852508
184.4806187320798,33,4,51.37481707165016
180.1097190867622,35,4,50.70425893716282
141.0622950374245,30,3,39.08231496293986
141.73717240798564,35,3,38.87093100346309
105.05676728103502,33,2,29.03801366593042
107.94251398075066,38,2,29.6886255284926
74.13238047183859,37,1,19.85033159122257
148.6588786761328,30,3,40.61155605155135
111.83682086062612,31,2,30.74352175484764
181.8076628172211,34,4,50.32763330685368
141.4206822901731,32,3,39.2102894456164
149.9796200716935,32,3,41.66488637588655
109.62197153469008,31,2,29.824309719065056
150.8410191888155,40,3,41.24545028519104
147.38841324101435,30,3,40.56872860148574
176.16301255755465,32,4,49.228454603891386
108.15711711680105,35,2,29.450060732747264
109.16837280944692,33,2,29.857556712838484
107.70600529408613,33,2,29.606661858710893
75.23334089192132,30,1,19.68871498549801
109.18180405197484,40,2,29.875804317156128
105.07321326198868,39,2,28.944652092079217
183.36262999061208,34,4,50.92875053237805
67.5667049644194,33,1,17.87571483489303
144.10660913907998,39,3,39.81735867003675
113.38184686367622,35,2,30.657931651810287
71.71900778873706,40,1,19.09244614742064
139.96045674700238,37,3,38.919408953482034
141.15067585771772,38,3,38.89710597937654
146.339323039768,31,3,40.47204544511039
179.4719701870876,35,4,50.03144091534048
79.35554708469873,31,1,21.220862545968345
185.5062864110632,40,4,51.17331215419667
114.63061210916598,35,2,31.233788289566046
71.16483462464774,39,1,18.881231576775058
174.84386422132337,40,4,48.58905665399411
75.5662685354376,36,1,20.30113934237909
80.19601639653264,38,1,20.98364511426091
145.7366969116703,34,3,40.21880152940409
114.58007128080168,40,2,31.49716234417471
105.79449830753386,37,2,29.29740702519825
147.4750801700565,33,3,40.35203177434745
75.66403537635942,40,1,20.12856646165893
144.3909324090443,32,3,39.98036568067148
108.64414410051312,37,2,29.362247182040683
177.05268286963664,35,4,49.41536980610218
178.29384463530835,33,4,49.78255788574869
180.77740537716377,35,4,50.18203230899622
179.82136620765104,32,4,50.02980881561133
78.4951192175135,37,1,20.805187723647528
184.18638267200163,31,4,51.27774113590868
144.98232202813526,32,3,40.35584903861564
151.0666341014517,32,3,41.47378039662566
172.23775256377527,37,4,48.13644553551662
148.71110544401662,32,3,40.945132600517645
75.21564859128776,32,1,19.659432891137584
178.83427291192933,40,4,49.242628905024446
113.78446299634062,33,2,31.025842575979777
180.3571124485132,38,4,49.71587090412301
75.47737491601175,37,1,19.96543579593346
142.95853109796377,35,3,39.21490331682343
114.89554383533084,40,2,31.08438318521461
107.82954324465236,33,2,29.74227013722858
178.9203876467897,37,4,49.97482077197251
177.8682121726461,31,4,49.71073164805296
76.21526453546473,30,1,19.99146170591936
135.38243069024276,30,3,37.19902817619145
78.75877488852304,40,1,20.856143207278773
180.96717474145623,35,4,50.5358188806797
70.73534489783097,33,1,18.774374887615444
180.96472586959464,33,4,50.36563024740701
182.1592416622843,36,4,50.779219118726125
106.21156816712396,30,2,29.03342308541441
72.10862322892214,40,1,19.525485941589206
115.73450712779544,40,2,31.28646337877001
173.65056372097342,31,4,48.41036438463719
76.61278929984485,39,1,19.77747291643833
144.649340868227,33,3,39.82094200535292
104.01600959466018,36,2,28.51119138950787
78.57025875741874,32,1,20.901137838917684
180.7020659332516,32,4,49.47992837542856
77.41855142834596,40,1,20.820350357644124
142.02299914652338,36,3,39.02498401469462
145.08720654592352,38,3,40.45180139422764
111.72978624778578,35,2,30.24583191149159
110.76286196196608,39,2,30.628774935845488
108.3744448575716,36,2,29.12045692942488
147.58998757854005,35,3,40.88541029937157
178.33350273591498,33,4,49.52569464342629
115.98058465332538,39,2,30.912365606681288
142.8251193335232,37,3,39.66094791501844
180.66071815903013,38,4,49.37484135624669
140.78186964503527,31,3,38.6684139034432
146.73272850637,32,3,40.33502118538838
106.62265322242928,39,2,29.940027785205576
176.51357758927514,30,4,48.87587782013404
176.54687487194923,32,4,49.10436659564919
181.2504730609239,38,4,50.52320347219517
85.93499423768544,32,1,23.03924073426175
106.1314601039023,31,2,28.825141507196868
76.46171499332316,30,1,20.937065079237204
140.02193620863855,35,3,38.79097142303906
176.1425679867219,36,4,48.86613474964504
182.85546792665173,38,4,50.83181220310274
180.6412985733764,30,4,50.16763648815198
117.02671026643112,33,2,32.10158583263043
143.95855828225328,36,3,39.79808973069125
75.16624246770769,36,1,20.24432400972399
143.35283918067174,39,3,39.27788758162048
106.77973119838823,31,2,28.861202027942184
146.4774324837638,37,3,40.398866162839816
145.6635560791318,36,3,40.45000419004317
141.55260805536204,34,3,39.07125907287441
178.16398689106057,37,4,49.10223879354943
75.70619879067699,31,1,20.199701761081503
108.646825037507,34,2,30.32435374745807
142.8660844750905,39,3,39.33953818855886
178.74397728509734,35,4,49.67584711680465
179.90645029012572,31,4,49.91343176661893
104.71523231768909,39,2,28.755602227291646
179.6953028776603,30,4,49.73145443219955
75.20245815939408,31,1,20.65746202958235
182.20845490920328,38,4,51.0847990835459
180.5425111859986,32,4,50.1833214538732
109.30348737115558,35,2,30.549617267020903
181.632555060396,36,4,50.70022627289364
112.58437294992817,39,2,30.46960345973585
180.3508954797225,34,4,50.01427510969262
104.91462263387736,39,2,28.45334867834041
67.22713774864344,33,1,18.38615785971127
111.8532069244581,33,2,30.345280167753792
184.4547540371477,36,4,50.81599560654632
74.79000507026227,36,1,19.887123071054187
73.34601988724211,37,1,19.589650335620355
144.050214939067,38,3,39.8689885575511
113.16239338210104,32,2,30.789423833748558
111.62524980155904,38,2,30.034277085253983
109.87365173243778,37,2,29.840354826447744
107.29092623877774,36,2,29.235402767760245
107.001770335164,31,2,28.86383309240841
110.48200972659768,37,2,30.07421853057308
135.05971273549844,39,3,37.317070435965725
66.63346852271107,36,1,18.15112884619812
74.6437255930764,35,1,19.83527572734657
177.92186951582903,31,4,49.3135821477514
145.4027648773058,34,3,40.26362957863337
176.09638207560528,34,4,49.00269833194902
103.43590007708372,38,2,28.293869160729475
74.62649231548754,33,1,19.729110590061072
143.6103685928257,31,3,39.05980003547491
142.28519535332916,40,3,39.401405635630766
107.88532325445853,33,2,29.4899104017453
66.81288322274706,31,1,17.957593891359366
111.39453408621108,33,2,29.913089123353952
110.58936910793976,30,2,29.662445947552985
109.72401858041438,30,2,29.93404290444293
148.9180199579128,40,3,41.02922190926332
143.0752005024866,32,3,39.71144030511122
179.43118376858217,30,4,50.184473922956414
111.97156446227784,37,2,30.52782796522349
185.21291860942225,40,4,50.56917659221763
140.89574292745337,39,3,38.94759040604272
147.33318780023097,32,3,40.559584469305854
176.88741251125197,33,4,49.09470687667251
110.61420387581654,38,2,30.126843467617352
186.82872040444184,39,4,51.69452534611102
144.57715771318536,35,3,39.94338384991132
146.72432996809218,36,3,40.553640940445504
148.74150090631625,33,3,41.66212302638528
73.6116765309306,30,1,19.53959707076537
141.22369523128353,39,3,38.73168024320278
69.55363079268083,40,1,18.292186954662945
105.91567691340916,40,2,29.21494944145364
142.6997549663459,37,3,39.663867442349336
72.02875169468031,31,1,19.04169821753804
139.2537051074425,39,3,38.42888252547316
178.1561895194473,35,4,49.0730549076909
184.20217265090707,31,4,51.29518929782303
180.6137517016801,37,4,49.77945484356939
